#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2017-05-29 12:52:19"
#data_read_from_db	"2018-08-23 11:02:46"
#database_id	48
#datapoints_in_db	249345
#database_reference_id	0
#integrated_value	0.018	6.3
#sample_label	"iri_flake_paper"
#sample_name	"Iridescent_flake_paper"
#lamp	"Halogen_12V"
#beamshape	"det,f=300,a=1"
#filterlamp	"IRcutoff"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: do_meas_batch.c,v 1.34 2014/02/05 12:16:00 apian Exp apian $daq serial[0]="007" (channel minimum)|autochanger5 place=1|optfile=epfl-ultrafine|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.11 2017/05/26 15:43:23 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=4 poweron=516 [h] last_change=63 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	30	0
#intheta	30
#inphi	0
#front_integral	0.0175
#incident_and_front_integral	30	0	0.0175
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	249290
#format: theta	phi	[uA]
28.5555  5.69108  0.0610959
28.1028  6.00734  0.0580436
33.2548  5.06459  0.0510709
38.8089  176.31  0.0566419
38.8644  176.337  0.0555264
38.9198  176.364  0.0589183
38.9753  176.391  0.0558461
39.0308  176.418  0.0557261
65.593  4.3598  0.0364204
72.8691  3.97178  0.0337737
85.0735  176.501  0.0433623
88.3431  176.43  0.0398057
88.3526  176.386  0.0427408
82.7528  3.65929  0.0493989
72.5989  3.70722  0.0473295
63.6259  3.53859  0.0525099
63.5709  3.52299  0.0543272
46.5213  3.50364  0.0507737
41.3284  3.93523  0.0473092
44.9093  3.13029  0.0513872
59.7415  2.43232  0.0552161
73.3509  2.0421  0.0545602
75.1532  2.15007  0.051776
42.6646  3.76768  0.0579505
34.1366  4.7406  0.0549456
46.705  3.38093  0.0530496
46.6491  3.36657  0.053144
45.3071  3.46674  0.0544293
35.6678  4.82304  0.0557314
32.3394  5.61619  0.0530688
30.9333  6.04917  0.0590818
32.1341  5.55901  0.0579936
32.9959  5.02373  0.0533749
36.1942  4.96197  0.0542862
36.1366  4.71995  0.0562467
30.2836  5.64965  0.0573749
30.2275  5.6283  0.0534902
29.9295  4.82314  0.0546962
56.4974  2.45546  0.0598011
40.3535  3.29085  0.0571718
27.9564  5.28477  0.057787
25.6922  5.44546  0.0545679
36.6137  3.44915  0.053561
41.5984  2.98011  0.0505075
33.8727  3.55888  0.0587054
32.3521  4.27049  0.0581714
